start,start_time,end,end_time
Rostock,2023-04-19 12:26:49,Trelleborg,2023-04-19 17:07:39
Trelleborg,2023-04-19 19:58:13,Travemunde,2023-04-20 05:05:01
Travemunde,2023-04-20 07:30:31,Rostock,2023-04-20 11:00:32
Rostock,2023-04-20 11:51:23,Trelleborg,2023-04-20 16:52:15
Trelleborg,2023-04-20 19:32:59,Swinoujscie,2023-04-21 01:29:08
Swinoujscie,2023-04-21 03:13:48,Trelleborg,2023-04-21 10:56:04
Trelleborg,2023-04-21 14:56:44,Swinoujscie,2023-04-21 22:01:54
Swinoujscie,2023-04-22 00:03:43,Trelleborg,2023-04-22 06:50:09
Trelleborg,2023-04-22 08:50:24,Travemunde,2023-04-22 17:47:15
Travemunde,2023-04-22 22:53:21,Trelleborg,2023-04-23 07:19:59
Trelleborg,2023-04-23 12:54:22,Swinoujscie,2023-04-23 20:59:37
Swinoujscie,2023-04-23 23:31:22,Trelleborg,2023-04-24 04:49:03
Trelleborg,2023-04-24 05:54:24,Swinoujscie,2023-04-24 11:33:16
Swinoujscie,2023-04-24 14:08:30,Trelleborg,2023-04-24 20:02:03
Trelleborg,2023-04-24 21:52:23,Travemunde,2023-04-25 05:29:02
Travemunde,2023-04-25 07:29:24,Rostock,2023-04-25 11:00:03
Rostock,2023-04-25 11:55:21,Trelleborg,2023-04-25 17:26:24
Trelleborg,2023-04-25 20:17:07,Travemunde,2023-04-26 04:58:40
Travemunde,2023-04-26 07:34:17,Rostock,2023-04-26 10:59:56
Rostock,2023-04-26 12:00:12,Trelleborg,2023-04-26 17:21:12
Trelleborg,2023-04-26 19:56:42,Travemunde,2023-04-27 04:58:22
Travemunde,2023-04-27 07:39:00,Rostock,2023-04-27 10:59:37
Rostock,2023-04-27 11:44:46,Trelleborg,2023-04-27 16:45:32
Trelleborg,2023-04-27 19:36:14,Swinoujscie,2023-04-28 01:22:27
Swinoujscie,2023-04-28 03:12:57,Trelleborg,2023-04-28 10:49:10
Trelleborg,2023-04-28 15:05:35,Swinoujscie,2023-04-28 22:17:19
Swinoujscie,2023-04-29 00:13:37,Trelleborg,2023-04-29 06:38:39
Trelleborg,2023-04-29 08:59:08,Travemunde,2023-04-29 17:55:44
Travemunde,2023-04-29 22:56:11,Trelleborg,2023-04-30 07:08:19
Trelleborg,2023-04-30 12:54:22,Swinoujscie,2023-04-30 21:25:01
Swinoujscie,2023-04-30 23:04:17,Trelleborg,2023-05-01 04:42:47
Trelleborg,2023-05-01 05:43:02,Swinoujscie,2023-05-01 11:32:02
Swinoujscie,2023-05-01 14:29:14,Trelleborg,2023-05-01 19:40:40
Trelleborg,2023-05-01 21:31:14,Travemunde,2023-05-02 05:22:48
Travemunde,2023-05-02 07:38:11,Rostock,2023-05-02 11:09:00
Rostock,2023-05-02 11:59:04,Trelleborg,2023-05-02 17:05:05
Trelleborg,2023-05-02 20:00:40,Travemunde,2023-05-03 04:42:10
Travemunde,2023-05-03 07:32:41,Rostock,2023-05-03 10:58:21
Rostock,2023-05-03 12:00:27,Trelleborg,2023-05-03 17:11:20
Trelleborg,2023-05-03 20:16:58,Travemunde,2023-05-04 04:43:29
Travemunde,2023-05-04 07:34:07,Rostock,2023-05-04 10:44:40
Rostock,2023-05-04 11:44:35,Trelleborg,2023-05-04 17:00:52
Trelleborg,2023-05-04 19:31:18,Swinoujscie,2023-05-05 01:29:28
Swinoujscie,2023-05-05 03:21:14,Trelleborg,2023-05-05 10:49:12
Trelleborg,2023-05-05 17:00:16,Swinoujscie,2023-05-05 22:53:47
Swinoujscie,2023-05-06 00:14:40,Trelleborg,2023-05-06 06:37:52
Trelleborg,2023-05-06 08:56:43,Travemunde,2023-05-06 17:54:55
Travemunde,2023-05-06 23:10:41,Trelleborg,2023-05-07 07:07:12
Trelleborg,2023-05-07 12:53:16,Swinoujscie,2023-05-07 20:59:30
Swinoujscie,2023-05-07 23:40:05,Trelleborg,2023-05-08 04:56:17
Trelleborg,2023-05-08 06:06:33,Swinoujscie,2023-05-08 11:34:58
Swinoujscie,2023-05-08 14:00:47,Trelleborg,2023-05-08 19:34:02
Trelleborg,2023-05-08 21:54:25,Travemunde,2023-05-09 05:20:36
Travemunde,2023-05-09 07:41:02,Rostock,2023-05-09 11:06:42
Rostock,2023-05-09 12:06:58,Trelleborg,2023-05-09 17:12:46
Trelleborg,2023-05-09 20:38:30,Travemunde,2023-05-10 04:50:09
Travemunde,2023-05-10 07:40:48,Rostock,2023-05-10 10:56:29
Rostock,2023-05-10 12:16:45,Trelleborg,2023-05-10 17:02:29
Trelleborg,2023-05-10 20:28:17,Travemunde,2023-05-11 04:49:54
Travemunde,2023-05-11 07:35:27,Rostock,2023-05-11 11:41:11
Rostock,2023-05-11 12:31:21,Trelleborg,2023-05-11 16:57:08
Trelleborg,2023-05-11 19:52:34,Swinoujscie,2023-05-12 01:57:57
Swinoujscie,2023-05-12 03:33:55,Trelleborg,2023-05-12 10:55:16
Trelleborg,2023-05-12 15:08:58,Swinoujscie,2023-05-12 22:07:11
Swinoujscie,2023-05-13 00:02:38,Trelleborg,2023-05-13 06:54:04
Trelleborg,2023-05-13 09:09:34,Travemunde,2023-05-13 17:56:05
Travemunde,2023-05-13 22:57:09,Trelleborg,2023-05-14 07:13:39
